Rodada,Mandante,Placar Mandante,Visitante,Placar Visitante
1,Brusque,Guarani,1,0
2,Vila Nova,Novorizontino,0,0
3,Grêmio,Guarani,3,1
4,Sport,Ituano,1,0
5,Londrina,Vila Nova,2,2
6,Bahia,Londrina,4,0
7,Ponte Preta,Novorizontino,0,1
8,Novorizontino,Sport,0,0
9,Sport,CRB,0,1
10,CRB,CSA,0,0
11,Guarani,Operário-PR,0,3
12,Sampaio Corrêa,Náutico,2,0
13,Bahia,Chapecoense,0,1
14,Chapecoense,CRB,1,2
15,Operário-PR,Chapecoense,2,1
16,Chapecoense,Sampaio Corrêa,3,1
17,Operário-PR,CRB,2,3
18,Operário-PR,Sport,0,0
19,Sport,Vila Nova,0,0
20,Sampaio Corrêa,Sport,4,1
21,Chapecoense,Grêmio,0,0
22,Vasco,Chapecoense,0,0
23,Ituano,Sport,4,1
24,Vila Nova,Londrina,0,0
25,Londrina,Bahia,1,1
26,Sport,Chapecoense,1,0
27,Chapecoense,Vila Nova,1,2
28,Náutico,Ituano,2,0
29,Vila Nova,Guarani,2,1
30,Sport,Bahia,1,0
31,Grêmio,Sport,3,0
32,Ponte Preta,Cruzeiro,1,4
33,Guarani,Londrina,1,0
34,Criciúma,Náutico,2,1
35,Guarani,CRB,1,0
36,Brusque,Novorizontino,2,2
37,Brusque,CRB,0,0
38,Grêmio,Brusque,3,0
